fid,display_name,verified_addresses,casts_count
303,Kyle McCollom,"['0xa4e221aa5a7ba51b5d5c7d5c923bfb9bcebcb252', '0x0ed1f91769d6add12f3aca1229f96eea198ac0ed']",7
188661,dropxtor ,"['0xf8378bfb1e38d1d8b9799342aaef9016fc52137a', '0xf8378bfb1e38d1d8b9799342aaef9016fc52137a']",7
189418,Hodlon,[],7
22326,wechat,[],6
1355,Bias 🫧 g/fy,['0x58d205f9d265399f5e68b783162d9508c0469bdf'],6
7692,Pierre Pauze ,['0xdc3bb7ebffa056fa67a6d3a5f1bcd96379b8b6d0'],6
188880,1314,[],6
16746,Shaho,['0x45af9cb6df0958ee803b85a8545927698542cd47'],6
20270,erica ,['0x18fc3c60a80ba26a076cf633c239df0e2e80a797'],6
18222,simon de mai,[],6
188122,Jacob ,['0x70e5afd09bfd201cd43daa8669123e846bc53576'],6
191863,Wojack White,"['0x9735cdef9b3b730bc651ef45c950db97a22d1d26', '0x9735cdef9b3b730bc651ef45c950db97a22d1d26']",6
21885,SURESH,['0xdcb65006fe465855434cf07ac8131894a4859bfd'],6
193926,Nguyen Thang,['0x7dbe8248483dd85a7b240328097f48942e4138fa'],6
196048,Phamvu,['0xe86a6cabad66d848f3353d63df387be36d4018ed'],6
8432,moritz,['0x87354143def0bb1e1b87745261ad71138c4883e1'],6
189512,Supergrey,[],6
193250,reremaru,['0xe76f1230c61160206306cb55e524d5843bad697a'],6
193223,kumatsukiji,"['0xcc23091de47a988dcb1ac8b0a80b49a14fe0a4ab', '0xcc23091de47a988dcb1ac8b0a80b49a14fe0a4ab', '0x24635c2336618587162c0b0b5dc82ed70d3706a7']",6
1447,mk,['0x435beaf80fdab070915d15931092aeceb15ec8e9'],6
4949,Rolf Hoefer,"['0xd662fa474c0a1346a26374bb4581d1f6d3fb2d94', '0xd662fa474c0a1346a26374bb4581d1f6d3fb2d94']",6
14682,ramadityaaa,"['0xae1a2707a15fdc7f8cb69dc82cd57c6deeff34da', '0x54bd170bf8754a427288cd10cc21707d4f5b2bbd']",6
6536,Sahil 🥝,['0xec2e3949b615239dcf21c718381a076c4e55e824'],6
2433,seneca,"['0xba2b9804fbffa8f1a8f7dc8dd600e21268bef09f', '0xb0dd496ffffa300df1eff42702066aca81834404', '0xb0dd496ffffa300df1eff42702066aca81834404']",6
22221,Trấn Thành,"['0xc83c8916a1b9414de7f42deef4eb01917ec74451', '0xc83c8916a1b9414de7f42deef4eb01917ec74451']",6
192952,watermelon,['0x38a48b784dbe0a5a784f971eda83a9550ddf8300'],6
6196,Mikko Ohtamaa,['0xba41a04a14aeaeec79e2d694b21ba5ab610982f1'],6
6473,albi,"['0x1fa91e165b2b8da6d8771130b6e923cfaa52ee37', '0xbe40dcadb6bf4de1c7810eca3504e5f3bea9cf35']",6
1048,Mac Budkowski 🥝,['0x3e6c23cdaa52b1b6621dbb30c367d16ace21f760'],6
16863,Kuusho,"['0xcb52187359e709ef501e7c207f2dffc360f7feab', '0x1ac2978bab1d05de5eec1a7f30748e0164c70186', '0x1ac2978bab1d05de5eec1a7f30748e0164c70186', '0x1ac2978bab1d05de5eec1a7f30748e0164c70186', '0xa02f47c81f411e572aeb58f6056512657559b40e']",6
9700,Q,['0x82d746d7d53515b22ad058937ee4d139ba09ff07'],6
3864,Spencer Graham 🧢,"['0xa7a5a2745f10d5c23d75a6fd228a408cede1cae5', '0x69d95ffcece36dc3f2e9f5e42eb270a0bcd98665']",6
196500,Insightful,[],6
193130,Dough,[],6
9082,Yassine Landa,['0xd8880f5420f06304873cd346a516d3da3beed0b2'],6
