fid,fname,cast_count,verified_addresses
207412,fanfantoken,1,"['0xcb17c426a0ed16e365e41a43add5733d1d4b8937', '0xcb17c426a0ed16e365e41a43add5733d1d4b8937']"
208800,johnnygo,1,[]
208073,justinbridgez,1,[]
210425,riqi,1,[]
210427,namle98,1,[]
207647,siamesebirds,1,['0x34df2dfb3f98f1d78152fec765cadd77fd84f2ba']
209799,mandy1,1,[]
210926,gristleking,1,[]
210928,cryptovin,1,[]
210929,ryanh,1,[]
210433,bigmove,1,[]
210932,greatergood,1,[]
210933,dozer,1,['0xe1127dd3bfc88ae61211c99e36655d92d6aee28d']
210936,futuresamy,1,[]
210436,tyga,1,[]
209264,almoney29,1,"['0xad7d987e2f7b745f2fb98fe5c3214b330934da64', '0xad7d987e2f7b745f2fb98fe5c3214b330934da64', '0xad7d987e2f7b745f2fb98fe5c3214b330934da64', '0xad7d987e2f7b745f2fb98fe5c3214b330934da64', '0xad7d987e2f7b745f2fb98fe5c3214b330934da64']"
209265,kingkrypto1,1,[]
210947,infinite805,1,[]
210952,omegus1987,1,[]
206957,middleman,1,"['0xab69562f582fbb458828558df66f0d99bdcedaa7', '0xab69562f582fbb458828558df66f0d99bdcedaa7']"
208606,roryd7,1,[]
210449,eet,1,[]
206563,crankitup2006,1,['0x0311663d459db2314b6f8f2859e535ff6da56eed']
209272,tragicrealm360,1,[]
208608,pepsicrypto,1,[]
210963,carmopt,1,[]
209460,cryptoguy,1,[]
210456,thehandyhandman,1,[]
208816,fourmec,1,"['0xf573699d039cf0cf70298e9ecd0055b7bf41443e', '0xf573699d039cf0cf70298e9ecd0055b7bf41443e', '0xf573699d039cf0cf70298e9ecd0055b7bf41443e']"
206130,cryptolio,1,[]
207786,vpotter,1,"['0x9a3fd791f4552de2b906d685414cdfa47ae7d0e8', '0x9a3fd791f4552de2b906d685414cdfa47ae7d0e8']"
206565,h336l05,1,"['0xbf4f33f338640f164e700975b55e954b899ed802', '0xbf4f33f338640f164e700975b55e954b899ed802', '0xbf4f33f338640f164e700975b55e954b899ed802', '0xbf4f33f338640f164e700975b55e954b899ed802']"
208820,solis,1,[]
207315,anouar86,1,['0xf9d1eb3b87d8a1419506bc5664c26cd7f945bf0f']
209282,blok9,1,['0x37f8e5267a47336fab4474bde096e431d951c7f9']
206754,dollarmenu12,1,"['0x10d5d0923c4c620533fd752dec24413c02b24d26', '0x10d5d0923c4c620533fd752dec24413c02b24d26', '0x10d5d0923c4c620533fd752dec24413c02b24d26', '0x10d5d0923c4c620533fd752dec24413c02b24d26', '0x10d5d0923c4c620533fd752dec24413c02b24d26', '0x10d5d0923c4c620533fd752dec24413c02b24d26', '0x10d5d0923c4c620533fd752dec24413c02b24d26', '0x10d5d0923c4c620533fd752dec24413c02b24d26', '0x10d5d0923c4c620533fd752dec24413c02b24d26']"
207044,lordjuras,1,[]
209542,blankspace69,1,[]
210477,manojkhatri,1,['0xaaab71a298c3e7dab212450a8808ffbf51178ed8']
210479,leashless-matr,1,[]
210480,hoangnguyen,1,[]
208435,johnelias69,1,[]
207795,ftwoblivion,1,[]
208625,trongnguyen,1,['0xa47e45b8135fbd94a639997e73c0818cfce7d483']
210485,mihir815,1,[]
209835,giziaa,1,"['0xb5dafb9a20e2cc8cf05792d3e0de6f1528f1c455', '0xb5dafb9a20e2cc8cf05792d3e0de6f1528f1c455', '0xb5dafb9a20e2cc8cf05792d3e0de6f1528f1c455']"
207427,iron-knee-irony,1,[]
209551,fanai,1,[]
207944,gmbgyszrp,1,[]
207543,tuga,1,[]
209841,kouttheway,1,[]
210495,mie20,1,[]
206965,mfdoom,1,[]
209556,lawxunder,1,[]
206150,lukhamr,1,[]
209559,lmcr24,1,[]
208446,mintyfreshvibes,1,[]
208448,almeida123,1,[]
206197,oesexe,1,[]
209569,jfeca1,1,[]
207433,kevcole45,1,[]
207326,almex,1,['0x71b080804cadcdeff8a3bbb18fe0daf30b93f708']
208645,nguoididuong,1,[]
206381,yolaverse,1,[]
207675,paulmandingo,1,[]
209080,wellz4drew,1,[]
209082,gbroke1996,1,"['0x51feb2350e3de139aeea4a935232f411ad024ba7', '0x51feb2350e3de139aeea4a935232f411ad024ba7']"
208458,sl44n3sh83,1,[]
208280,bigapplebo,1,[]
209586,vortac,1,['0xd7b77b0a69308392ef13db63a412df391146d434']
208461,ch0k1,1,[]
206571,twopanda,1,[]
206827,rikkaono,1,[]
210535,goldfinch,1,[]
208862,khadati,1,[]
207557,cryptosmitty,1,[]
207683,nchiofal,1,[]
208287,kingclone69,1,[]
210543,ajith,1,[]
206146,mike-diablo,1,[]
209597,badal11,1,[]
207237,chiggy420,1,[]
209601,txpunisher979,1,[]
208873,0xinsomnia,1,['0x914b261cc6e2230738f31845b748d97d938a1360']
208474,yussaiyan,1,[]
206499,whyiodda,1,[]
207448,bellabella,1,['0x2fb2358bfa1a17b52ef9ffb7951d7a6ef22ee7c3']
210556,,1,[]
210557,nguyenquocthinh,1,[]
209895,vitalik-buterin,1,[]
208878,senzy,1,"['0xf9c1b47e7b37fb243252b958e23cbc7608ef996f', '0xf9c1b47e7b37fb243252b958e23cbc7608ef996f', '0xf9c1b47e7b37fb243252b958e23cbc7608ef996f']"
210563,luuduytao,1,['0x9c46722c4a90f99ee6f130a98579c7658b6c7707']
207340,suyang,1,[]
207568,annmar,1,['0x9d76e4c54d51e2efcf9f8187d168076142436acd']
210567,ridlo,1,['0xbbc72966016848f352cfeb82ac697ddd53e1ea36']
210568,cashtrocrypto,1,[]
