fid,fname,cast_count,verified_addresses,
196619,trantien,2,[],
198956,yangyang,2,[],
196944,ethersurf,2,[],
201183,riplock,2,[],
200475,kamkadze,2,"['0xcd1a2a41c3260aa67cdb450c3ba9223fb99eb7cc', '0xcd1a2a41c3260aa67cdb450c3ba9223fb99eb7cc', '0xcd1a2a41c3260aa67cdb450c3ba9223fb99eb7cc']",
199852,kinepl,2,"['0xde7ab4b228b94b97d7f90fe9a2859570b0b51dd1', '0xde7ab4b228b94b97d7f90fe9a2859570b0b51dd1']",
196648,nonomnouns,2,[],
197218,o0sword0o,2,[],
200416,luten8,2,[],
197049,codingsh,2,['0xd1a8dd23e356b9fae27df5def9ea025a602ec81e'],
198434,gzabc,2,[],
198960,maskafu,2,"['0x3fa62599f43041e6ef881fe1f25b1b1d5e2bf3cc', '0x3fa62599f43041e6ef881fe1f25b1b1d5e2bf3cc', '0x3fa62599f43041e6ef881fe1f25b1b1d5e2bf3cc']",
201086,xiaobao,2,"['0xdfe72fb65ed5391e03c89374d0281ac144366526', '0xdfe72fb65ed5391e03c89374d0281ac144366526']",
196714,vocovoco,2,[],
196844,falco,2,[],
198579,okrut,2,[],
196935,hero-yang-eth,2,[],
199046,cxdgamer,2,[],
197147,,2,[],
196852,,2,[],
199235,dawid95,2,[],
196595,maheshkumar,2,[],
196896,gamestop,2,[],
196708,michson,2,"['0xe951c7f91bafa2c0222c6d478f2ea1537a50263a', '0xe951c7f91bafa2c0222c6d478f2ea1537a50263a']",
199323,rusiohq77,2,"['0xd6ce4a8befe4f497e748387fcdfb72b04dae7f5c', '0xd6ce4a8befe4f497e748387fcdfb72b04dae7f5c', '0xd6ce4a8befe4f497e748387fcdfb72b04dae7f5c', '0xd6ce4a8befe4f497e748387fcdfb72b04dae7f5c', '0xd6ce4a8befe4f497e748387fcdfb72b04dae7f5c', '0xd6ce4a8befe4f497e748387fcdfb72b04dae7f5c', '0xd6ce4a8befe4f497e748387fcdfb72b04dae7f5c', '0xd6ce4a8befe4f497e748387fcdfb72b04dae7f5c', '0xd6ce4a8befe4f497e748387fcdfb72b04dae7f5c', '0xd6ce4a8befe4f497e748387fcdfb72b04dae7f5c', '0xd6ce4a8befe4f497e748387fcdfb72b04dae7f5c', '0xd6ce4a8befe4f497e748387fcdfb72b04dae7f5c']",
201140,nftease,2,[],
200239,davidavila02,2,"['0x94b89bc579eed8aaec177bb1c1faacac594b5047', '0x94b89bc579eed8aaec177bb1c1faacac594b5047', '0x94b89bc579eed8aaec177bb1c1faacac594b5047', '0x94b89bc579eed8aaec177bb1c1faacac594b5047', '0x94b89bc579eed8aaec177bb1c1faacac594b5047', '0x94b89bc579eed8aaec177bb1c1faacac594b5047', '0x94b89bc579eed8aaec177bb1c1faacac594b5047']",
200351,hibukiz,2,[],
198461,jeffweldon,2,[],
197459,cryptoworldao,2,[],
198469,maxcarlsberg,2,['0x350fb44bc30ab370414e90520b3c9ceb643ff1c4'],
201142,godyop89,2,[],
197772,alesilva198,2,[],
199845,shadowuser,2,"['0xa70bb37ce72f3118720ecaa114a186e20327f99f', '0xa70bb37ce72f3118720ecaa114a186e20327f99f']",
200949,molisteas,2,"['0xa06313af7d00dd6a2a724bf28d101ed5477ad2f1', '0xa06313af7d00dd6a2a724bf28d101ed5477ad2f1', '0xa06313af7d00dd6a2a724bf28d101ed5477ad2f1', '0xa06313af7d00dd6a2a724bf28d101ed5477ad2f1']",
198724,remixx,2,[],
199782,0xanotherbug,2,['0xc8e6379c2c61cfde1d65ac28c65656f50e61cd19'],
199784,yitikn,2,[],
199249,kliverat,2,[],
200404,comixxx,2,[],
200740,wandrsant,2,[],
200909,4crypto,2,[],
200589,jove23,2,['0x7be947c6c25182a074899603c69afdc2ec34e4b6'],
200626,ariano,1,[],
200871,mitrongte,1,"['0xa8284f6967a063cb6733971b393494ff8824304e', '0xa8284f6967a063cb6733971b393494ff8824304e']",
199180,jjguzman,1,[],
199588,buddhabloom,1,[],
200636,nrd,1,"['0x4705fa5627c98c230bc70047f860437d412b67ea', '0x4705fa5627c98c230bc70047f860437d412b67ea', '0x4705fa5627c98c230bc70047f860437d412b67ea']",
197100,kichong,1,[],
199186,carloseduardo051,1,"['0x3aba94577e843cc5751559e73447d877c02438d7', '0x3aba94577e843cc5751559e73447d877c02438d7']",
199187,tresemes,1,[],
200644,nueve,1,[],
198106,adewson,1,[],
197243,taynan,1,"['0xe30fa03806dfe7f970a5c8a428df53dab4c02f90', '0xe30fa03806dfe7f970a5c8a428df53dab4c02f90']",
201268,surgical123,1,"['0x1dc3875f7f4c86096eb43f70d3379a8bb5669bfc', '0x1dc3875f7f4c86096eb43f70d3379a8bb5669bfc']",
200082,amitshah31,1,"['0x696a9d1b052404e207d52bbf2a804a786ee1d5e3', '0x696a9d1b052404e207d52bbf2a804a786ee1d5e3', '0x696a9d1b052404e207d52bbf2a804a786ee1d5e3']",
197593,punisher88,1,[],
197594,onchainexpanse,1,['0x92a36e6b7234ab5eb3846a068b50cd5d7a8fdfcf'],
199601,nye,1,[],
199193,micka,1,[],
199604,spaceman,1,"['0x6e09a225f0e53b35ca236a10564a2c9956a83090', '0x6e09a225f0e53b35ca236a10564a2c9956a83090']",
200930,karlsjr,1,['0x5640bf0a2eba8f42a3bd82fae92411beae6eb510'],
200261,tchemi120,1,['0x1f6d5e69a2ebb94facb3156cfa26d33a22b946c7'],
197408,stackedcrypto,1,['0x58ef554c370d84a12f1b6e0a2dc70d2828e247c4'],
199608,darkhouse311,1,[],
199753,thegodbutcher,1,['0x371f89e8f4068c65ca4c71b86822f36272c9d9f6'],
197411,dusted,1,[],
197246,vaavi,1,[],
196782,swayducky,1,[],
198856,peibol666,1,[],
198559,b3nnok,1,"['0x96f9e5644f7556c0879d6843dec140b09b84f709', '0x119273dfad15c29f3137dbbd1c51866bd368ce05']",
196888,robertjordan,1,[],
197107,jaytje,1,['0x8420b4392acb335f132dc3f5fa3d95764694cc31'],
198860,katsuo,1,[],
199207,raymi,1,[],
200671,elk,1,['0xcf4ce3da36894b1d32cbe8d4c0fd024d8c72058c'],
199622,pastorek23,1,[],
196822,,1,[],
199627,peterbkk,1,['0x80e36a5d14e49d0f225b369ccfc3495d9205afde'],
201303,mhostilis,1,[],
198045,khellendrox,1,[],
196824,cryptvn,1,['0x4d74a67b834e3f6464865ea77a9eefee2d2555cd'],
200118,cashmonkey,1,[],
199633,giti,1,['0x544742b1cc12e66fcad554c2ebcf5ef100968c92'],
199634,8xux8,1,['0x6ea24187bc173da766eeed2184efab4b9b147c16'],
196991,truongvu,1,[],
201314,frankyzero,1,[],
200123,joyass,1,[],
197609,caccola88,1,[],
199219,alessandra,1,['0xd2ea40f6ef22143d9337be5e6407a89b825aeabf'],
200129,benji413,1,[],
199220,drainedjay99,1,[],
198300,michaczarkowsk,1,[],
